NS	6	0	0
NT	6	0	100
NU	6	0	200
NV	6	0	300
NA	6	0	400
NB	6	0	500
NC	6	0	600
ND	6	0	700
NE	6	0	800
NF	6	0	900

PS	6	100	0
PT	6	100	100
PU	6	100	200
PV	6	100	300
PA	6	100	400
PB	6	100	500
PC	6	100	600
PD	6	100	700
PE	6	100	800
PF	6	100	900

QS	6	200	0	35	100
QT	6	200	100	35	100
QU	6	200	200	35	100
QV	6	200	300	35	100
QA	6	200	400	35	100
QB	6	200	500	35	100
QC	6	200	600	35	100
QD	6	200	700	35	100
QE	6	200	800	35	100
QF	6	200	900	35	100

TM	7	200	0	-35	100
TN	7	200	100	-35	100
TP	7	200	200	-35	100
TQ	7	200	300	-35	100
TR	7	200	400	-35	100
TS	7	200	500	-35	100
TT	7	200	600	-35	100
TU	7	200	700	-35	100
TV	7	200	800	-35	100
TA	7	200	900	-35	100

UM	7	300	0
UN	7	300	100
UP	7	300	200
UQ	7	300	300
UR	7	300	400
US	7	300	500
UT	7	300	600
UU	7	300	700
UV	7	300	800
UA	7	300	900

VM	7	400	0
VN	7	400	100
VP	7	400	200
VQ	7	400	300
VR	7	400	400
VS	7	400	500
VT	7	400	600
VU	7	400	700
VV	7	400	800
VA	7	400	900

WM	7	500	0
WN	7	500	100
WP	7	500	200
WQ	7	500	300
WR	7	500	400
WS	7	500	500
WT	7	500	600
WU	7	500	700
WV	7	500	800
WA	7	500	900

XM	7	600	0
XN	7	600	100
XP	7	600	200
XQ	7	600	300
XR	7	600	400
XS	7	600	500
XT	7	600	600
XU	7	600	700
XV	7	600	800
XA	7	600	900
