Miltenberg	X	519	5506	3	3	0
Mönchengladbach	X	321	5675	3	3	0
Montabaur	X	417	5587	3	3	0
Neubrandenburg	X	385	5937	3	4	0
Neumünster	X	564	5991	3	3	0
Neuruppin	X	352	5867	3	4	0
Neuss	X	338	5675	3	3	0
Neustrelitz	X	372	5915	3	4	0
Neuwied	X	391	5588	3	3	0
Nordhausen	X	621	5704	3	3	0
Nordhorn	X	370	5811	3	3	0
Northeim	X	569	5728	3	3	0
Nürnberg	X	650	5479	3	3	0
Oberhausen	X	618	5338	3	4	0
Oldenburg	X	466	5867	3	3	0
Olpe	X	425	5659	3	3	0
Oranienburg	X	381	5846	3	4	0
Osnabrück	X	435	5791	3	3	0
Ottweiler	X	367	5472	3	3	0
Paderborn	X	484	5730	3	3	0
Parchim	X	689	5924	3	3	0
Pasewalk	X	433	5930	3	4	0
Passau	X	388	5382	3	4	0
Peine	X	584	5797	3	3	0
Perleberg	X	692	5884	3	3	0
Pinneberg	X	553	5945	3	3	0
Pirmasens	X	398	5451	3	3	0
Pirna	X	425	5647	3	4	0
Plauen	X	297	5598	3	4	0
Plon	X	308	5199	3	4	0
Potsdam	X	368	5807	1	4	0
Prenzlau	X	425	5908	3	4	0
Rathenow	X	319	5831	3	4	0
Ratzeburg	X	617	5952	3	3	0
Recklinghausen	X	374	5721	3	3	0
Regen	X	363	5425	3	4	0
Remscheid	X	374	5672	3	3	0
Rendsburg	X	543	6017	3	3	0
Rosenheim	X	382	5184	3	4	0
Rostock	X	312	5997	3	4	0
Röth	X	383	5321	3	4	0
Saarbrücken	X	354	5455	1	3	0
Saarlouis	X	336	5465	3	3	0
Salzgitter	X	594	5776	3	3	0
Sangerhausen	X	656	5709	3	3	0
Schleiz	X	699	5607	3	3	0
Schleswig	X	536	6041	3	3	0
Schwabach	X	647	5466	3	3	0
Schwandorf	X	302	5476	3	4	0
Schweinfurt	X	588	5545	3	3	0
Schwelm	X	380	5683	3	3	0
Schwerin	X	660	5945	1	3	0
Seelow	X	458	5819	3	4	0
Senftenberg	X	541	5365	3	4	0
Siegburg	X	373	5629	3	3	0
Siegen	X	432	5635	3	3	0
Sömmerda	X	647	5669	3	3	0
Soest	X	444	5713	3	3	0
Solingen	X	366	5672	3	3	0
Sonneberg	X	651	5588	3	3	0
Speyer	X	458	5464	3	3	0
Stade	X	529	5936	3	3	0
Stadthagen	X	515	5796	3	3	0
Steinfurt	X	608	5214	3	4	0
Stendal	X	693	5832	3	3	0
Stralsund	X	376	6019	3	4	0
Straubing	X	322	5417	3	4	0
Suhl	X	620	5607	3	3	0
Tauberbischofsheim	X	548	5497	3	3	0
Tirschenreuth	X	308	5529	3	4	0
Torgau	X	361	5715	3	4	0
Traunstein	X	507	5364	3	4	0
Trier	X	330	5514	3	3	0
Uelzen	X	606	5873	3	3	0
Unna	X	409	5710	3	3	0
Vechta	X	452	5841	3	3	0
Viersen	X	317	5681	3	3	0
Warendorf	X	430	5756	3	3	0
Weimar	X	663	5651	3	3	0
Wesel	X	334	5719	3	3	0
Westerstede	X	429	5901	3	3	0
Wetzlar	X	465	5600	3	3	0
Wiesbaden	X	446	5548	1	3	0
Wildeshausen	X	462	5861	3	3	0
Wilhelmshaven	X	443	5930	3	3	0
Wittenberg	X	348	5741	3	4	0
Wittlich	X	348	5539	3	3	0
Wittmund	X	418	5939	3	3	0
Wolfenbüttel	X	608	5775	3	3	0
Wolfsburg	X	622	5811	3	3	0
Worms	X	454	5498	3	3	0
Würzburg	X	567	5515	3	3	0
Wuppertal	X	373	5681	3	3	0
Zweibrücken	X	381	5457	3	3	0
Zwickau	X	324	5623	3	4	0
